position,artist,song,time,album,label,notes
1,MIDI Janitor,Far Speak,00:00,,,
2,Echo of the Low Light,Disco,04:02,,,
3,The Handsome Family,Far From Any Road,08:21,,,
4,Still Corners,The Dream,10:54,,,
5,Rue Oberkampf,Glycine,16:41,,,
6,School Of Seven Bells,Heart Is Strange,21:14,,,
7,Dark Chisme,Beautiful Obsession Killer,26:15,,,
8,ACTORS,In Real Life,30:31,,,
9,Cold Cave,Night Light,34:10,,,
10,New Order,Temptation ’87 (2023 Digital Master),38:39,,,
11,Peter Gabriel,This Is The Picture (Excellent Birds),45:29,,,
12,Afrocop,Elegantly Deceitful Simulation,49:34,,,
13,Beth Gibbons,Rewind,53:33,,,
14,Dead Can Dance,Ariadne,57:49,,,
15,Robert ÆOLUS Myers,All Souls,01:00:23,,,
16,David Arkenstone,Firestix,01:04:03,,,
17,Richard N. Ahlstrom,RIDE THE NIGHT SKY,01:07:55,,,
18,Pat Metheny Steve Reich,Electric Counterpoint - Fast (movement 1),01:13:35,,,
19,J. McFarlane’s Reality Guest,Sensory,01:20:15,,,
20,Kay Gardner,Fountain Of Light: Transpersonal Chakra,01:24:43,,,
21,A Covenant of Thorns,Alone In A Crowd,01:30:18,,,
22,Liam J Boyle,Arrival,01:33:45,,,
23,Perge,Ascent,01:40:45,,,
24,Julianna Barwick,Nebula,01:47:08,,,
25,Mattesque,This City Softly Cries Blood,01:52:39,,,
26,Nosnar,Black Shadow in a Clear Light (excerpt),01:57:00,,,
