position,artist,song,time,album,label,notes
1,Siren and the Sea,Amazon,0:00,This time with feeling,,2017 swimwave album from co-founder of Bathysphere Records
2,Death Cab for Cutie feat. Lauren Mayberry,Northern Lights,4:20,Thank you for today,,2018 single inspired by riding the Bremerton ferry; guest vocals from CHVRCHES lead singer
3,Jan Hammer,Crockett’s Theme,9:20,Miami Vice II / Escape From Televsion,,First appeared in Miami VIce episode “Calderone’s return part 1 – the hit list” – Oct 19 1984
4,De Lux,New Summers (Jason Bentley mix),12:40,,,"Nov 2022; remixed by music director of KCRW, host of mix show Metropolis"
5,FM Attack,Oceans Apart,18:11,Stellar,,"2017 vaporwave from Vancouver, BC"
6,Joe Jackson,Steppin’ Out,23:06,Night and Day,,"1982, his most successful album; song features percussion from the Korg KR 55"
7,AeTopus,Transit,27:!4,Urbus,,March 2022 Bellingham; formatted especially for vinyl LP – recently signed w/ Spotted Peccary
8,Mt Fog,Blue Summer (Graduation Remix),31:58,,,Single with proceeds supporting The Vera Project
9,Miami Nights 1984,Ascend,35:15,Sentimental,,"Victoria BC synthwave pioneer, september 2022 album"
10,Checkfield,Through the Lens,40:24,Through the Lens,,San Diego ensemble
11,Style king of the week,Mt eerie,44:48,Style.king.of.the.week,,"Seattle duo specializing in cassette manipulation, percussion, synths"
12,Methods Body,Impedimenta and Torches,48:22,Plural Not Possessive,,New music; Portland duo Methods Body are John Niekrasz and Luke Wyland
13,Fog Net,Serpentine (Blue),54:00,Headlands,,"Justin Longerbeam (co-founder of Bathysphere) and Niko Ramsdell – debut as a duo, recorded over three consecutive days"
14,end,segment,59:00,one,,
15,Shadowfax,New Electric India,01:00:00,Shadowdance,,1983 new-age group formed in Chicago
16,Pat Metheny Group,First Circle,01:05:11,The Road to You,,"1993, recorded on tour in Europe"
17,Neighborhood Libraries,Postcards for the Backyard,01:14:19,,,"Taylor Swindells from Vancouver, BC – took up ambient and neo-classical during lockdown after a decade touring to cope with restlesness and preserve mental health"
18,Jörgen Kjellgren,Invincible Summer,01:18:11,Invincble Summer,,inspired by family travels through Europe
19,Robbie Elizee,Smoking Wet,01:21:44,Cull,,Louisville ambient artist
20,The Conspiracy Tapes,Postscript,01:24:12,The Conspiracy Tapes,,New music from Pao De Silva!
21,Steve Roach,Threshold,01:30:43,Mystic Chords and Sacred Spaces – Complete,,4-CD expanded re-release
22,Robert chamberlain,From another shore,01:33:21,Mutable sign,,New solo ambient project on Bathysphere Records
23,Hollan Holmes,Taken by the Current,01:36:19,Emerald Waters,,"Synth from Texas, second album on Spotted Peccary"
24,Terminus Void,Memories of Rain,01:44:08,Origins Unknown,,Seattle space music project; new stuff coming out in 2024
25,Emma Ruth Rundle,Goteborg YO-tuh BOYre,01:47:31,Electric Guitar One,,Composed during her 2010 European tour
26,George Winston,Early Morning Range,01:56:00,Summer,,"Recently passed away, new age pianist known for seasonal recordings on windham hill"
