position,artist,song,time,album,label,notes
1,Panabrite,Regent,00:00,Pavilion,,
2,Perge,Epicenter,,Mutually Assured Destruction,,Perge was formed with the ambition of recreating the excitement of classic Electronic Rock typified by the live performances of Tangerine Dream ’74 – ’86. From < https://perge.bandcamp.com/album/mutually-assured-destruction >
3,Frore,Trapped in Amber,,Biome,Spotted Peccary,
4,Chuck van Zyl,The Child of Night,,Gemstones II,Cyclical Dreams,
5,Matthew Halsall,The Temple Within,,The Temple Within,Gondwana,"spiritual jazz, the heritage of British jazz and progressive world music and electronica influences From < https://matthewhalsall.bandcamp.com/album/the-temple-within >"
6,The set of arsonist,Projecting into Phantasmagoric Subspace (excerpt),,Reality Structure,,
7,Sigur Ros,Klettur,,ATTA,,"“Eight”, eigth studio album, first in 10 years; ” “to have minimal drums and for the music to be really sparse, floaty and beautiful From < https://en.wikipedia.org/wiki/%C3%81tta > “"
8,Kristen Roos,Diablo IV,,Universal Synthesizer Interface Vol II,,New vinyl releases Kristen Roos crafts vast musical networks from the restrictions of vintage technology. The Vancouver-based composer’s recent pieces stem from early algorithmic programs From < https://thequietus.com/articles/33098-kristen-roos-universal-synthesizer-interface-volume-ii-review >
9,Saloli,Silhouette,,Canyon,Kranky,"Brand new, about a bear he album is intended to evoke “a day in the life of a bear in a canyon in the Smoky Mountains,” with each track channeling a different emotion or experience in its daily explorations. From < https://saloli.bandcamp.com/album/canyon >"
10,Blessed are the Hearts that Bend,Ghosts of Ford,,Edgelands,,
11,Kristen Roos,Midi Draw,,Universal Synthesizer Interface Vol I,,
12,SNOWDN,Pale Blue Dot,,Modern Quilt EP,,
13,Robert chamberlin,Reclamation,,Mutable sign,Bathysphere Records,
14,Steve Roach,Structures from Silence (Live 2019),,The Sky Opens,Projekt,
