position,artist,song,time,album,label,notes
1,Pure Bathing Culture,The Momento,00:00,Chalice,,
2,Cocteau Twins,Pitch the Baby,03:52,Heaven or Las Vegas,,
3,Caroline Polachek,Breathless,07:02,Standing at the Gate – Remix Collection,,
4,brass clouds,Dream Recall,10:00,Escape Vessels,,
5,Wild Nothing,Sleight of hand,12:50,Laughing Gas EP,,
6,Small Black + Com Truise,Duplex (Com Truise Remix),16:59,Duplex (Com Truise Remix),,
7,Sinéad Lohan,No Mermaid,20:48,No Mermaid,,
8,brass clouds,Simulated Sympathy,24:43,Escape Vessels,,
9,Mt. Fog,Waiting Through These Years,27:36,Spells of Silence,,
10,Sarah McLachlan,Back Door Man,31:53,Solace,,
11,Kate Bush,Rubberband Girl,35:41,The Red Shoes,,
12,Four Tet,4T Recordings,40:17,4T Recordings,,
13,Hyperion V,Astatis,42:33,Accretion Disc,,
14,Caterina Barbieri,Math of You,46:43,Myuthafoo,,
15,Kim Oxlund,Stars All Burn Away,52:24,Very Special Things,,
16,David Arkenstone,The Icy Brook Finds Its Way,01:00:00,Winterlude,,
17,Andreas Vollenweider,Dancing With the Lion,01:04:08,Dancing With the Lion,,
18,sunset virtual,Crystal — cassette only,01:08:03,visions,,
19,Erwilian,Masters in this Hall (Live),01:09:32,Cascadia,,
20,Nils Frahm,#2 (Live),01:14:23,Tripping with Nils Frahm,,
21,Pabellón Sintético,Farnsworth House,01:24:09,Mies van der Rohe’s dreams,,
22,Chuck van Zyl,Nightshift,01:29:52,BERLIN – A Tribute Album for Mark Shreeve,,
23,Bruce Mitchell,Gateway to the Sun,01:41:30,Hidden Pathways,,
24,Mark Vernon,"The Tyrol, 1972",01:45:21,Call Back Carousel,,
25,Brian Eno,Everything Merges with the Night,01:51:41,Another Green World,,
26,Hello Meteor,Hashimi Rubies,05:55:31,The Lower Path,,
