position,artist,song,time,album,label,notes
1,Norm Chambers,Index,,Graphic Means: Original Soundtrack,,2017 documentary Graphic Means
2,Suzanne Ciani,The Eighth Wave,,The Velocity of Love,RCA Red Dot,"On tour! Portland on Sat May 13 & Seattle on Sat, May 20"
3,Dead Can Dance,Rakim,,Toward the Within,4AD,"1993 live concert at the Mayfair Theatre in Santa Monica, CA"
4,Altin Gün,Ordunun Dereleri,,Yol,ATO,reimagined Turkish folk song about doomed lovers
5,Fleet Foxes,can i believe you (solstice version),,a very long solstice,Anti-,"2021 winter solstice livestream St. Ann & the Holy Trinity Church in Brooklyn, NY, winter solstice livestream"
6,Still Corners,Mystery Road,,The Last Exit,Wrecking Light,ambient country vibes
7,climax golden twins,Clear Skies,,climax golden twins (2022),,2022 double-LP
8,black tape for a blue girl,seven days till sunrise,,The Rope,Projekt,40th anniversary of Sam Rosenthal’s label
9,Hans Zimmer,Leaving Caladan,,Dune: OST (2021),WaterTower,2021 adaptation by Denis Villeneuve
10,Paul Haslinger,Golden Gate,,Halt and Catch Fire: OST,Lakeshore,AMC drama series on computing history
11,Daft Punk,End of Line,,Tron: Legacy OST,Disney,2010 sequel
12,Deep Forest feat. Peter Gabriel,While The Earth Sleeps (long version),,Strange Days: OST,Columbia,1995 cyberpunk noir dir. Kathryn Bigelow
13,Steve Roach,The Sky Opens,,The Sky Opens,Projekt,"2019 Ambient Church show First United Methodist Church in Pasadena, CA"
14,NAVVI,Clemency,,V,Hush Hush,New LP drops May 5 pre-order on Bandcamp
15,Mt Fog,Behind a Silent Door,,Spells of Silence,Ghost Mounain,Playing Belltown Bloom on May 5 2023
16,Hibou,Night Fell,,Arc,,
17,Ray Lynch,The Oh of Pleasure,,Deep Breakfast,Music West,originally sold from his bedroom in 1984
18,David Arkenstone,Valley in the Clouds,,Valley in the Clouds,Narada Equinox,"On tour in PNW in May 2023 ! Shows in Monroe, Seattle, Bellevue, Tacoma, Enumclaw, Portland, and more"
19,Roxy Music,India,,Avalon,EG,1982 peak Bryan Ferry era
20,Pure Bathing Culture,Veil,,Night Pass,,“Unearthly” music from Portland
21,Massive Attack feat. Elizabeth Fraser,Teardrop,,Mezzanine,Virgin Records,masterpiece risen from conflict in the group
22,Destroyer,It Just Doesn’t Happen,,Have We Met,Merge Records,vancouver + seattle unite
23,Noble Oak,Tides Turn,,Tides Turn,,New single! Space pop from Vancouver BC
24,Kaitlyn Aurelia Smith,Check Your Translation (Hrishikesh Hirway Remix),,Let’s Turn It Into Sound Remixes,Ghostly Int’l,Orcas Island legend getting the Song Exploder treatment
25,Wendy Carlos,Anthem for Keyboard Solo,,Tron: OST (1982),Disney,out of print for decades
26,Vangelis,l’Enfant,,Opéra sauvage (1979),Polydor,"1982 “The Year of Living Dangerously”, also 1978 French TV series and 1986 Gallo wine ads"
27,Toto,Take My Hand (End Titles),,Dune: OST (1984),Polydor,1984 David Lynch adaptation
28,Brian Eno,Ending (An Ascent),,Apollo: Atmospheres & Soundtracks,EG,"1983 album, music used in 1989 documentary “For All Mankind”"
