position,artist,song,time,album,label,notes
1,Little H Collective,Avalanche Pass (radio edit),10:30 PM,Avalanche Pass,,
2,Hello Meteor,Eso Waypoints,10:37 PM,Earth Journos,,
3,Jeff Pierce,Serenity Fields,10:42 PM,The Road Ahead,,
4,Erik Wøllo,Cloud of Strings,10:46 PM,Cloud of Strings,,
5,MiDi BiTCH,Marmalade Skies,10:57 PM,Sonic Fiction,,
6,Panabrite,Cortex Meridian,11:01 PM,Cortex Meridian,,
7,Radio Massacre International,The Clockwork Time Dragon (Album),11:10 PM,Time & Motion,,
8,Lisa Bella Donna,Rahmenerzählung,11:22 PM,Portals: A Kosmische Journey Through Outer Worlds and Inner Space,,
9,Matthew Halsall,Sunlight Reflection,11:33 PM,An Ever Changing View,,
10,Matthew Halsall,Natural Movement,11:34 PM,An Ever Changing View,,
11,North Americans,The Living End,11:39 PM,Long Cool World,,
12,The British Stereo Collective,Lost in Aqua,11:43 PM,Sailing 1975,,
13,Pabellón Sintético,Open Spaces,11:56 PM,Mies Dreams Live Session,,
14,Ian Boddy,Memory Lane,12:05 AM,Berlin: A Tribute Album for Mark Shreeve,,
15,Thom Brennan,Argo Pt. 3,12:11 AM,Argo,,
16,Siren and the Sea,Gravity Wave,12:21 AM,Gravity Wave – EP,,
17,Laurel Halo,Naked to the Light,12:28 AM,Atlas,,
