position,artist,song,time,album,label,notes
1,Mree,All the Stars,0:00,All the Stars,,
2,Jenn Champion,O.M.G (I want to get a hold on you),02:50,Single Rider,,
3,Tori Amos,Caught a Lite Sneeze,07:50,Boys for Pele,,
4,Dead Can Dance,American Dreaming,12:10,,,
5,Sill Corners,White Sands,16:36,The Last Exit,,
6,U2,In God’s Country,22:02,The Joshua Tree,,
7,Daft Punk,Horizon,25:41,Random Access Memories,,
8,Cowboy Junkies,Pale Sun,29:55,"Pale Sun, Crescent Moon",,
9,The Handsome Family,Far From Any Road,33:25,Singing Bones,,
10,"Brian Eno, Daniel Lanois, Roger Eno",Deep Blue Day,36:06,Apollo: Atmospheres and Soundtracks,,
11,Oatmello ft. Ornithology,Passing Moments,40:19,,,
12,Emma Ruth Rundle,Body,41:28,Engine of Hell,,
13,NAVVI,Clemency,46:38,V,,
14,Betamaxx,Love on a Real Train (remix),52:13,,,
15,FM Attack,Nova Child,55:34,The Never Ending,,
16,Siren and the Sea,The Large Floating Vessel,59:00,Gravity Wave,,
17,Lisa Bella Donna,Dawn on Manitou River,01:02:41,Early Atmospheres,,
18,Fog Net,Polymer Field,01:07:14,Headlands,,
19,Martin Sturtzer,Orion Constellation,01:11:09,Cosmic Echo,,
20,Frore,Luminous and Tangled,01:20:17,Biome,,
21,‘ramp,Hanging gardens,01:30:21,Synchronize or Die,,
22,Erik Wollo,Illuminated River,01:51:48,The Le Paysage Single,,
