position,artist,song,time,album,label,notes
1,Hotel Pools,Faded,,Evenings Vol 1,,
2,Pure Bathing Culture,The Memento,,Chalice,,
3,Lane Lines,Time & Space,,Lucid Dreaming,,
4,Vallis Alps,On The Eve Of The Rush,,Cleave,,
5,Kacey Musgraves,Slow Burn,,Golden Hour,,
6,Still Corners,White Sands,,The Last Exit,,
7,Climax Golden Twins,Much Much Slowly,,climax golden twins,,
8,David Arkenstone,Darkening Skies,,Winterlūde,,
9,Craig Padilla & Marvin Allen,Sunflowers in the Wind,,Weathering the Storm,,
10,SUSS,Linger,,SUSS,,
11,Hello Meteor,Way Of Lakes,,Traditional Dreams For January,,
12,Pabellón Sintético,Bauhaus,,Mies van der Rohe’s dreams [CYD 0087],,
13,tarotplane,Descartes Camera,,Murmuration,,
14,Brass Clouds,Liquid Lucid,,Escape Vessels,,
15,Mount Maxwell,Sky Eye,,Littlefolk,,
16,Dan Mason,Melatonin High,,Hypnagogia,,
17,Blessed are the Hearts that Bend,Returning,,Edgelands,,
18,Tangerine Dream,Ricochet: Part 1 (Steven Wilson stereo remix),,Ricochet (Steven Wilson remaster),,
19,TALsounds,Slides,,Shift,,
20,Hyperion V,Oumuamua,,Accretion Disc,,
21,Steve Roach,Towards The Dream,,Dreamtime Return (24-bit Studio Master),,
