position,artist,song,time,album,label,notes
1,Bart Hawkins,Owls and the exuberant brilliants of unity makes me smile,00:00,Nonlinear Crossroads,Cyclical Dreams,"Brand new, oregon, all modular, inspired by a visit to the Getty Center"
2,Elbow,New York Morning,,The Taking Off and Landing of Everything,,2014
3,Gwenno,An Stevel Nowdyh the new room,,Tresor (Treasure),,"Second album sung almost entirely in Cornish, written in Cornwall just prior to the lockdown"
4,Charlotte Gainsbourg,Deadly Valentine,,Rest,,
5,Tame Impala,Breathe Deeper,,The Slow Rush,,
6,Christine and the Queens + Caroline Polachek,La vita nuova,,La vita nuova,,
7,"Michael Shrieve, Klaus Schulze, Kevin Shrieve",Communique “Approach Spiral”,,Transfer Station Blue,Fortuna Records,"Seattle’s Michael Shrieve (rock percussionist, santana, etc) + Klaus Schulze (TD, ash ra tempel, etc) and Kevin Shrieve; re-released last year, originally 1985"
8,The Fragile Fate,Rolled Over,,Lilliam Ocean,,"Brand new Jerry Marotta (drummer for peter Gabriel, Indigo Girls, Hall + Oates, Tony Levin) Rupert Greenall (kbds for The Fixx) Eric Taylor on guitars"
9,Penguin café,Welcome to london,,,,Brand New Song and video dedicated to those who feel lost in a place like london and yet make it their home
10,Siren and the Sea,Not to Harp On It,1:00:00,Gravity Wave,Bathysphere Records,
11,Saloli,Full Moon,,Canyon,,"Brand new, Journey of a bear; portland artist"
12,Roberto Cacciapaglia,Sonanze – 5th Movement,,Sonanze,Wah Wah,"1975 experimental, electronic, classica"
13,Max Richter,On the Nature of Daylight,,The Blue Notebooks,,
14,Arthur Russell,In the Light of a Miracle,,Picture of Bunny Rabbit,Audika,"Brand new reissue, 1986 album from late experimental compooser"
15,Deborah Martin and Jill Haley,From Fire into Water,,The Silence of Grace,Spotted Peccary,2021 collab on spotted peccary
16,Massergy,The Shepherdess,,Fire Opal,Spotted Peccary,
17,Patricia Wolf,I’ll Look For You In Others,,I’ll Look for You in Others,Past inside the present,2022
18,Kris Keogh,Golden,,Processed Harp Works vol 3,Muzan Editions,Brand new from australian experimental musician
19,Max Richter with Tilda Swinton,Shadow Journal,,The Blue Notebooks,,
