position,artist,song,time,album,label,notes
1,Bart Hawkins,To Ride A Pterodactyl,0:00,Entering the Axis Mundi,,2023 album from Oregon artist
2,New Order,Elegia,11:06,Low-Life,,
3,The Cure,Closedown,15:49,Disintegration,,
4,Sisters of Mercy,Marian – Version,19:52,First and Last and Always,,
5,Depeche Mode,Precious,30:07,Playing the Angel,,
6,A Covenant of Thorns,Numb,34:34,Black,,"Darkwave project Scott-David Allen, originally from Seattle"
7,Boy Harsher,Give Me a Reason,38:17,The Runner (OST),,"soundtrack to a short horror film written, produced, and directed by the duo"
8,LEATHERS,Highrise,38:54,Highrise,,"Solo electro-pop from Shannon Hemmett from ACTORS in Vancouver, BC"
9,FM Attack,Sleepless Nights,42:18,Dreamatic,,"Vaporwave pioneer from Vancouver, BC"
10,Orbital,The Girl with the Sun in Her Head,48:41,In Sides,,
11,Young Scientist,Brainless,1:00:00,"Results, Not Answers",,"Seattle trio formed in the 1970s – James Husted, Roland Barker, Marc Barreca"
12,Remote Vision,The Architect,1:13:41,The Architecture of Time,,
13,Frore,Trapped in Amber,1:20:29,Biome,,"Paul Casper – “inspired by the interconnectedness of a forest, how one small swath of nature can contain infinite microbes, many components that comprise the whole”"
14,Nils Frahm,Fundamental Values,1:29:58,Tripping with Nils Frahm,,
15,Suzanne Ciani Kaitlyn Aurelia Smith,Closed Circuit,1:43:12,FRKWYS Vol. 13 – Sunergy,,
16,"Loscil,Lawrence English",Violet,1:52:45,Colours of Air,,"“collection of recordings of a century old pipe organ housed at the historic Old Museum in Brisbane, Australia, which were then processed, transformed, and elevated into eight majestic electro-acoustic threshold devotionals”"
