position,artist,song,time,album,label,notes
1,Pure Bathing Culture,In Gardens Under Evergreen,00:00,Roxi’s Dream Pt I,,
2,Conjur One ft. Sinéad O Connor,Tears from the Moon,04:44,Conjure One,,
3,Tori Amos,A Sorta Fairytale,10:06,Scarlet’s Walk,,
4,Diane Arkenstone,Fearlessly Falling,15:33,World Calling,,
5,Nation of Language,Across that Fine Line,19:40,A Way Forward,,
6,Saint Etienne,Only Love Can Break Your Heart,25:05,Foxbase Alpha,,
7,Siren and the Sea,Still in the Race,28:28,Still in the Race,,
8,Japanese Breakfast,Slide Tackle,31:53,Jubilee,,
9,Sally Shapiro with Johan Agebjörn,Forget About You (Johnny Jewel’s Amnesia Remix ),35:26,Sad Cities (The Remixes),,
10,Peter Gabriel feat. Sinéad O Connor,Blood of Eden,40:17,Us,,
11,Massive Attack feat. Sinéad o Connor,Special Cases,46:40,100th Window,,
12,One Arc Degree,Stella Obscura,52:46,The Forest and the Milky Way,,
13,The The – Matt Johnson feat. Sinéad O Connor,Kingdom of Rain,01:00:00,Mind Bomb,,
14,Johan Agebjörn with Mikael Ögren,Four Hours to Karhumaki (Subtracted Version),01:05:39,Subtraced Soundscapes,,
15,Sigur Rós,Gold,01:11:50,Átta,,
16,Oneohtrix Point Never,Chrome Country,01:16:54,R Plus Seven,,
17,Parallax-5,Regeneration,01:21:50,Sonic Awakening,,
18,A Covenant of Thorns,Serafina,01:27:56,If the Heavens should Fall,,
19,[‘ramp],Arp-en-Ciel excerpts,01:32:23,Arp-en-ciel,,
20,Methods Body,Torches,01:42:37,Plural Not Possessive,,
21,Saroon,The Beacon,01:48:00,Gilgul,,
22,Saroon,"Something, then a whisper",01:51:55,Gilgul,,
