position,artist,song,time,album,label,notes
1,Kaitlyn Aurelia Smith and Emile Mosseri,The Moon in Your Eye,,I Could Be Your Dog/I Could Be Your Moon,,
2,Hibou,Valium,,Hibou,,
3,Grimes,Genesis,,Visions,,
4,Brian Eno and John Cale,Spinning Away,,Wrong Way Up,,
5,The Books feat. Jose Gonzales,Cello Song,,Dark Was the Night,,
6,Odesza,A Moment Apart,,A Moment Apart,,
7,Julee Cruise,Into the Night,,Floating Into the Night,,
8,The Postal Service,Be Still My Heart,,Give Up (20th anniversary edition),,
9,Sky Cries Mary,Moondream Meadow Allegory,,Exit at the Axis,,
10,Surf Mesa,Manzanita,,Run,,
11,Jason Holstrom,Behold the Sky,,Tonight Sky,,
12,Grand Hallway,Winter Creatures - Winter CreaturesMike Oldfield - In the Beginning/Let There Be Light,,The Songs of Distant Earth,,
13,Visible Cloaks,Wheel,,Lex,,
14,Kings of Convenience,I Don’t Know What I Can Save You From (Royksopp remix),,Versus,,
15,Faith and Disease,Mary Don’t Sleep In Your Makeup,,Insularia,,
16,Alice in Chains,Whale & Wasp,,Jar of Flies,,
17,Fovea Hex,All Those Signs,,The Salt Garden 2,,
18,Steve Hauschildt,Arpeggiare,,Where All is Fled,,
19,David Arkenstone,Rain,,Valley in the Clouds,,
20,Nancy Rumbel,Lullaby,,Notes from the Tree of Life,,
21,Orcas,Standard Error,,Orcas,,
22,Ernest Hood,Sunday Morning Doze,,Neighborhoods,,
23,Panabrite,Octopus In Your Dreams,,Sub-aquatic meditation,,
24,Golden Retriever and Chuck Johnson,Lupine,,Rain Shadow,,
