position,artist,song,time,album,label,notes
1,FCS North,Police Laughter,,,,
2,Roxy Music,The Space Between,,,,
3,College & Electric Youth,A Real Hero,,,,
4,Bluhm,Midnight Hill,,,,
5,Midnight High,True,,,,
6,One Dove,White Love,,,,
7,Soft Release,Broken Number 13,,,,
8,Dan Deacon,Fell Into the Ocean,,,,
9,Classixx,Hanging Gardens,,,,
10,Fleetwood Mac,Seven Wonders,,,,
11,Hello Meteor,Contour Interval,,,,
12,Dark Sky Alliance,The Desert Mind,,,,
13,Peter Buffett,Empire Builder,,,,
14,Michael Whalen,Golden Hour,,,,
15,Michael Gettel,Wellspring,,,,
16,Paul Ellis,Three Trajectories 01,,,,
17,Serena Gabriel,Gentle Landing,,,,
18,Domenica Diavoleria,Tress,,,,
