position,artist,song,time,album,label,notes
1,Meltt,Do You Ever Wonder,,Do You Ever Wonder,,
2,Holy Ghost!,Epton on Broadway,,Work,,
3,FM Attack,Strange Ways,,Strange Ways,,
4,Ladytron,The Night,,Time’s Arrow,,
5,Lemonade,Ice Water,,Diver,Beggar’s Group,
6,Small Black,Collections,,Limits of Desire (Deluxe Edition),,
7,Four Tet,Three Drums,,Three Drums,,
8,Nathan Kawanishi,projections,,Splashes of Ink (antithesis),,
9,Boards of Canada,Aquarius,,Music Has The Right To Children,,
10,Hello Meteor,Photic Glitter,,The Lower Path,,
11,Marc Barreca,Music Works for Industry,,Music Works for Industry,,
12,Marc Barreca,Shopping,,Shopping,,
13,Paul Ellis,Forever Exploring,,Music For The Space Between Atoms,Cyclical Dreams,
14,Panabrite,Pool,,Pavilion,,
15,AeTopus,Altum,,VARIANT,,
16,Fred again. & Brian Eno,I Saw You,,Secret Life,,
17,Nathan Kawanishi,"a name, a place",,Splashes of Ink (antithesis),,
18,ann annie,Hazel Creek,,By Morning,,
19,Deborah Martin & Jill Haley,Reaching the Ambient,,Into the Quiet,Spotted Peccary,
20,Mark Isham,Raffles in Rio,,Vapor Drawings,Windham Hill,
21,Francisco Nicosia,Electrónica del antiguo Egipto,,Historias Secretas,Cyclical Dreams,
22,Steve Roach,Elegant Forward (exclusive),,Cloudwatch (Subscriber Exclusive),,
