position,artist,song,time,album,label,notes
1,Noble Oak,Eveningstar,00:00,When It Finds You,,
2,Hatchie,This Enchanted,03:34,Giving the World Away,,
3,Small Black,Breathless,08:15,Limits of Desire (Deluxe Edition),,
4,Future Islands,Born In A War,11:54,As Long As You Are,,
5,Wavestar II,A Call to Arms,15:51,BERLIN – A Tribute Album for Mark Shreeve,,
6,Nathan Kawanishi,Opulence 02,21:01,single,,
7,Makaya McCraven,The Fours,23:06,In These Times,,
8,David Arkenstone,The Icy Brook Finds Its Way,26:58,Winterlude (09.13.23),,
9,Iceblink,Healer,31:09,Carpet Coccoon,,
10,Erwillian,Fantasy & Dance (live),34:32,Cascadia (08.25.23),,
11,Pat Metheny Group,The First Circle,39:20,First Circle,,
12,Javier Nero Jazz Orchestra,Kemet (The Black Land),48:28,Kemet (The Black Land),,
13,"Steve Roach, Stephen Kent, Kenneth Newby",Halcyon Days,01:00:00,Halcyon Days,,
14,Redshift,Quenzer – Live in the Studio 2002,01:09:20,BERLIN – A Tribute Album for Mark Shreeve,,
15,Saloli,Barcarolle,01:20:25,The Deep End,,
16,Saloli,Barcarolle (for piano),01:25:04,Ghosts: Music for Piano vol. 2,,
17,Fog Net,Polymer Field,01:27:24,Headlands,,
18,Kim Oxlund,I Have No Answers,01:36:01,Very Special Things,,
19,Patricia Wolf,The Juncos’ Nest,01:40:40,Seasonal Diary III – Curious Enchantment,,
20,Daryl Groetsch,Gardens in Glass,01:49:25,Gardens in Glass,,
